"DateTime","Dota 2","Counter-Strike 2","PUBG: BATTLEGROUNDS","Hogwarts Legacy","New World","Baldur's Gate 3","Cyberpunk 2077","ELDEN RING","Goose Goose Duck","Lost Ark"
"1970-01-01 00:00:00",335335,49418,1901658,693454,707230,472136,1054388,559624,1055,688736
"1970-01-02 00:00:00",333115,45563,2912831,807112,734496,593788,985286,764835,1318,1325305
"1970-01-03 00:00:00",327915,41807,2893414,879308,758543,712281,1054386,861538,1352,1316854
"1970-01-04 00:00:00",334106,40608,2701140,650470,801642,814666,1047602,891638,1623,1098921
"1970-01-05 00:00:00",347619,42936,2720182,508506,865329,707445,837390,819143,1689,1119642
"1970-01-06 00:00:00",334074,40621,2879002,512236,913634,665963,736047,828001,1779,1135765
"1970-01-07 00:00:00",332896,37754,2911567,474914,790682,646696,646103,823527,1899,1090827
"1970-01-08 00:00:00",328484,35634,2940119,465255,745337,634578,580760,820921,1931,1102515
"1970-01-09 00:00:00",337550,33207,3105063,503894,739529,653212,533936,858316,1645,1134663
"1970-01-10 00:00:00",350927,31832,3027050,527849,654415,791966,564508,953426,1381,1174722
"1970-01-11 00:00:00",385324,31747,2735776,416766,640956,875343,525716,944190,1244,1074677
"1970-01-12 00:00:00",396917,36057,2792515,337623,680520,688915,418174,801048,1232,993849
"1970-01-13 00:00:00",382742,36870,2987585,309375,727333,667496,378056,779297,1343,949460
"1970-01-14 00:00:00",390724,33922,2948824,275584,664233,631685,333086,738122,1790,915628
"1970-01-15 00:00:00",376148,29302,2908153,266177,607446,617097,303464,703725,1814,881133
"1970-01-16 00:00:00",391566,28446,3111095,306615,521790,623087,302590,730458,1402,930509
"1970-01-17 00:00:00",397368,26028,3165053,317278,555907,731165,328832,825277,1270,962906
"1970-01-18 00:00:00",410882,16992,3028424,216634,543706,813288,318838,800301,1314,856177
"1970-01-19 00:00:00",432837,16992,2916008,191754,586895,630074,262070,635680,1305,842508
"1970-01-20 00:00:00",417945,29223,2882162,169841,609137,566928,245485,610847,1339,819652
"1970-01-21 00:00:00",423332,26599,2821337,159715,515683,540894,227393,589570,1592,815473
"1970-01-22 00:00:00",411302,26739,2608675,161401,478838,526911,206338,587284,1474,759648
"1970-01-23 00:00:00",411308,25895,3119191,190727,470559,545146,225963,611562,1954,847376
"1970-01-24 00:00:00",520532,25290,3257248,204351,471328,658234,225555,712336,2454,908335
"1970-01-25 00:00:00",497332,24962,3149524,139406,453385,712677,212553,694446,2492,829633
"1970-01-26 00:00:00",494675,28447,3035560,126912,486464,550092,165422,529881,2438,822383
"1970-01-27 00:00:00",473584,26686,2984565,105603,506623,506255,153736,507115,3186,805722
"1970-01-28 00:00:00",439522,23856,3021621,106805,426889,481557,147788,464532,3054,679494
"1970-01-29 00:00:00",439990,21597,2995704,111415,399951,445367,134369,468107,2732,630067
"1970-01-30 00:00:00",443921,22118,3082953,130990,377147,455963,131265,480052,2124,646991
"1970-01-31 00:00:00",447368,20544,3156713,145356,377676,534008,149156,563389,2064,660051
"1970-02-01 00:00:00",471867,21263,3088609,98398,372611,569117,144975,546667,2088,591163
"1970-02-02 00:00:00",497956,24475,2975607,90272,398638,584885,101182,414946,1957,511063
"1970-02-03 00:00:00",477143,23329,2972069,80508,404689,450770,94502,399484,2407,519268
"1970-02-04 00:00:00",466285,20387,2935037,74533,359960,373504,87774,378861,2443,528089
"1970-02-05 00:00:00",463428,20354,2655842,75266,303184,363374,83654,368498,2315,486390
"1970-02-06 00:00:00",456510,19894,3034540,89084,315467,371254,84057,375625,2665,518719
"1970-02-07 00:00:00",457334,18732,3092549,99171,294669,458754,103442,455103,2789,537588
"1970-02-08 00:00:00",469142,18543,3071708,69668,285336,496598,101699,457182,3306,483641
"1970-02-09 00:00:00",482395,21247,2915453,62581,298826,379036,72083,339322,2774,460199
"1970-02-10 00:00:00",459261,20273,2940731,57380,307146,338043,66832,317968,3400,449751
"1970-02-11 00:00:00",451632,20850,2894346,54484,258195,324926,62423,300169,3409,413761
"1970-02-12 00:00:00",455760,18337,2734796,54200,244320,307851,59527,287677,3213,389102
"1970-02-13 00:00:00",458834,18350,2811749,66021,234235,321106,60603,305294,3162,402922
"1970-02-14 00:00:00",460976,18564,2957507,74611,237454,396702,79080,367780,3152,420758
"1970-02-15 00:00:00",473934,18464,2933527,51552,226631,430800,80463,349862,3096,369916
"1970-02-16 00:00:00",486116,19848,2820516,46838,238022,326458,55555,258031,2901,355086
"1970-02-17 00:00:00",476855,20740,2803438,43959,248323,293814,51714,245836,3229,336539
"1970-02-18 00:00:00",485440,18861,2543501,42082,196047,277408,48838,234880,3436,353933
"1970-02-19 00:00:00",484006,17936,2750007,44012,177542,263379,42148,234557,3139,347729
"1970-02-20 00:00:00",490451,17658,2679866,53519,188768,280982,48014,269911,2995,375010
"1970-02-21 00:00:00",500715,16103,2690449,59185,207090,360993,60278,282119,3088,399715
"1970-02-22 00:00:00",524282,17560,2700520,41524,193127,389771,60685,266656,3029,356506
"1970-02-23 00:00:00",384727,20134,2540839,37600,194674,296174,42042,239831,3754,359193
"1970-02-24 00:00:00",566715,18887,2434563,35386,196093,258369,40160,198248,4877,351755
"1970-02-25 00:00:00",483253,17456,2177418,35609,175862,243951,37521,202328,5202,367612
"1970-02-26 00:00:00",483771,17615,1684566,40905,169465,235854,36033,196417,4373,374802
"1970-02-27 00:00:00",491679,16026,2041561,42099,125934,243135,34662,205469,4680,401124
